============================================================
BYZANTINE AUTHORITATIVE MANIFEST
============================================================
CivTechTrees ID: BYZANTINES
DAT civilization: Byzantine
DAT tech_tree_id: 256
Buildings: 28
Units/tech nodes: 145

============================================================
BUILDINGS
============================================================
87 | Archery Range | TYPE=BuildingTech | USE=Building | STATUS=ResearchRequired | AGE=2 | BUILDING=87 | LINK=12 | TRIGGER=<MISSING>
276 | Wonder | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=4 | BUILDING=276 | LINK=<MISSING> | TRIGGER=<MISSING>
584 | Mining Camp | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=584 | LINK=<MISSING> | TRIGGER=<MISSING>
562 | Lumber Camp | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=562 | LINK=<MISSING> | TRIGGER=<MISSING>
84 | Market | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=2 | BUILDING=84 | LINK=68 | TRIGGER=<MISSING>
68 | Mill | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=68 | LINK=<MISSING> | TRIGGER=<MISSING>
50 | Farm | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=68 | LINK=68 | TRIGGER=<MISSING>

============================================================
AVAILABLE UNIT / TECH NODES
============================================================
4 | Archer | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=87 | LINK=<MISSING> | TRIGGER=<MISSING>
24 | Crossbowman | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=87 | LINK=4 | TRIGGER=100
492 | Arbalester | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=87 | LINK=24 | TRIGGER=237
7 | Skirmisher | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=87 | LINK=<MISSING> | TRIGGER=<MISSING>
6 | Elite Skirmisher | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=87 | LINK=7 | TRIGGER=98
5 | Hand Cannoneer | TYPE=Unit | USE=Unit | STATUS=ResearchRequired | AGE=4 | BUILDING=87 | LINK=<MISSING> | TRIGGER=<MISSING>
39 | Cavalry Archer | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=87 | LINK=<MISSING> | TRIGGER=<MISSING>
474 | Heavy Cavalry Archer | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=87 | LINK=39 | TRIGGER=218
437 | Thumb Ring | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=87 | LINK=<MISSING> | TRIGGER=<MISSING>
74 | Militia | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=1 | BUILDING=12 | LINK=<MISSING> | TRIGGER=<MISSING>
75 | Man-at-Arms | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=12 | LINK=74 | TRIGGER=222
77 | Long Swordsman | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=12 | LINK=75 | TRIGGER=207
473 | Two-Handed Swordsman | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=12 | LINK=77 | TRIGGER=217
567 | Champion | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=12 | LINK=473 | TRIGGER=264
93 | Spearman | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=12 | LINK=<MISSING> | TRIGGER=<MISSING>
358 | Pikeman | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=12 | LINK=93 | TRIGGER=197
359 | Halberdier | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=12 | LINK=358 | TRIGGER=429
602 | Arson | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=12 | LINK=<MISSING> | TRIGGER=<MISSING>
875 | Gambesons | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=12 | LINK=<MISSING> | TRIGGER=<MISSING>
215 | Squires | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=12 | LINK=875 | TRIGGER=<MISSING>
448 | Scout Cavalry | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=101 | LINK=<MISSING> | TRIGGER=<MISSING>
546 | Light Cavalry | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=101 | LINK=448 | TRIGGER=254
441 | Hussar | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=101 | LINK=546 | TRIGGER=428
38 | Knight | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=101 | LINK=<MISSING> | TRIGGER=<MISSING>
283 | Cavalier | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=101 | LINK=38 | TRIGGER=209
569 | Paladin | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=101 | LINK=283 | TRIGGER=265
329 | Camel Rider | TYPE=RegionalUnit | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=101 | LINK=<MISSING> | TRIGGER=<MISSING>
330 | Heavy Camel Rider | TYPE=RegionalUnit | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=101 | LINK=329 | TRIGGER=236
39 | Husbandry | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=101 | LINK=435 | TRIGGER=<MISSING>
1258 | Battering Ram | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=49 | LINK=<MISSING> | TRIGGER=<MISSING>
422 | Capped Ram | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=49 | LINK=1258 | TRIGGER=96
548 | Siege Ram | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=49 | LINK=422 | TRIGGER=255
280 | Mangonel | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=49 | LINK=<MISSING> | TRIGGER=<MISSING>
550 | Onager | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=49 | LINK=280 | TRIGGER=257
279 | Scorpion | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=49 | LINK=<MISSING> | TRIGGER=<MISSING>
1105 | Siege Tower | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=49 | LINK=<MISSING> | TRIGGER=<MISSING>
36 | Bombard Cannon | TYPE=Unit | USE=Unit | STATUS=ResearchRequired | AGE=4 | BUILDING=49 | LINK=<MISSING> | TRIGGER=<MISSING>
211 | Padded Archer Armor | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=103 | LINK=<MISSING> | TRIGGER=<MISSING>
212 | Leather Archer Armor | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=103 | LINK=211 | TRIGGER=<MISSING>
219 | Ring Archer Armor | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=103 | LINK=212 | TRIGGER=<MISSING>
199 | Fletching | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=103 | LINK=<MISSING> | TRIGGER=<MISSING>
200 | Bodkin Arrow | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=103 | LINK=199 | TRIGGER=<MISSING>
201 | Bracer | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=103 | LINK=200 | TRIGGER=<MISSING>
67 | Forging | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=103 | LINK=<MISSING> | TRIGGER=<MISSING>
68 | Iron Casting | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=103 | LINK=67 | TRIGGER=<MISSING>
81 | Scale Barding Armor | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=103 | LINK=<MISSING> | TRIGGER=<MISSING>
82 | Chain Barding Armor | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=103 | LINK=81 | TRIGGER=<MISSING>
80 | Plate Barding Armor | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=103 | LINK=82 | TRIGGER=<MISSING>
74 | Scale Mail Armor | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=103 | LINK=<MISSING> | TRIGGER=<MISSING>
76 | Chain Mail Armor | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=103 | LINK=74 | TRIGGER=<MISSING>
77 | Plate Mail Armor | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=103 | LINK=76 | TRIGGER=<MISSING>
13 | Fishing Ship | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=1 | BUILDING=45 | LINK=<MISSING> | TRIGGER=<MISSING>
199 | Fish Trap | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=2 | BUILDING=45 | LINK=13 | TRIGGER=<MISSING>
545 | Transport Ship | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=1 | BUILDING=45 | LINK=<MISSING> | TRIGGER=<MISSING>
1103 | Fire Galley | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=45 | LINK=<MISSING> | TRIGGER=<MISSING>
529 | Fire Ship | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchRequired | AGE=3 | BUILDING=45 | LINK=1103 | TRIGGER=34
532 | Fast Fire Ship | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchRequired | AGE=4 | BUILDING=45 | LINK=529 | TRIGGER=246
906 | Fishing Lines | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=45 | LINK=199 | TRIGGER=<MISSING>
65 | Gillnets | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=45 | LINK=906 | TRIGGER=<MISSING>
539 | Galley | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=45 | LINK=<MISSING> | TRIGGER=<MISSING>
21 | War Galley | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchRequired | AGE=3 | BUILDING=45 | LINK=539 | TRIGGER=34
442 | Galleon | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchRequired | AGE=4 | BUILDING=45 | LINK=21 | TRIGGER=35
2626 | Hulk | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=45 | LINK=<MISSING> | TRIGGER=<MISSING>
2627 | War Hulk | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchRequired | AGE=3 | BUILDING=45 | LINK=2626 | TRIGGER=34
2628 | Carrack | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchRequired | AGE=4 | BUILDING=45 | LINK=2627 | TRIGGER=904
1104 | Demolition Raft | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=45 | LINK=<MISSING> | TRIGGER=<MISSING>
527 | Demolition Ship | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=45 | LINK=1104 | TRIGGER=905
528 | Heavy Demolition Ship | TYPE=UnitUpgrade | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=45 | LINK=527 | TRIGGER=244
17 | Trade Cog | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=45 | LINK=<MISSING> | TRIGGER=<MISSING>
34 | Warships | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=45 | LINK=17 | TRIGGER=<MISSING>
35 | Heavy Warships | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=45 | LINK=34 | TRIGGER=<MISSING>
1795 | Dromon | TYPE=RegionalUnit | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=45 | LINK=532 | TRIGGER=<MISSING>
194 | Fortified Wall | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
47 | Chemistry | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
64 | Bombard Tower | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=209 | LINK=47 | TRIGGER=<MISSING>
93 | Ballistics | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
140 | Guard Tower | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
63 | Keep | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=209 | LINK=140 | TRIGGER=<MISSING>
608 | Arrowslits | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
322 | Murder Holes | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
374 | Careening | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
375 | Dry Dock | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=209 | LINK=374 | TRIGGER=<MISSING>
908 | Clinker Construction | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
907 | Carvel Hull | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=209 | LINK=908 | TRIGGER=<MISSING>
909 | Siphons | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
373 | Shipwright | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
54 | Treadmill Crane | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
40 | Cataphract | TYPE=UniqueUnit | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=82 | LINK=<MISSING> | TRIGGER=<MISSING>
553 | Elite Cataphract | TYPE=UniqueUnit | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=82 | LINK=40 | TRIGGER=361
440 | Petard | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=82 | LINK=<MISSING> | TRIGGER=<MISSING>
331 | Trebuchet (Packed) | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=4 | BUILDING=82 | LINK=<MISSING> | TRIGGER=<MISSING>
464 | Greek Fire | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=82 | LINK=<MISSING> | TRIGGER=<MISSING>
61 | Logistica | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=82 | LINK=<MISSING> | TRIGGER=<MISSING>
379 | Hoardings | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=82 | LINK=<MISSING> | TRIGGER=<MISSING>
315 | Conscription | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=82 | LINK=<MISSING> | TRIGGER=<MISSING>
408 | Spies/Treason | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=82 | LINK=315 | TRIGGER=<MISSING>
125 | Monk | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=3 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
46 | Devotion | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
45 | Faith | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=104 | LINK=46 | TRIGGER=<MISSING>
316 | Redemption | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
233 | Illumination | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
319 | Atonement | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
230 | Block Printing | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
438 | Theocracy | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
439 | Heresy | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
231 | Sanctity | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
252 | Fervor | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
83 | Villager | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=1 | BUILDING=109 | LINK=<MISSING> | TRIGGER=<MISSING>
8 | Town Watch | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=109 | LINK=<MISSING> | TRIGGER=<MISSING>
280 | Town Patrol | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=109 | LINK=8 | TRIGGER=<MISSING>
101 | Feudal Age | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=1 | BUILDING=109 | LINK=<MISSING> | TRIGGER=<MISSING>
102 | Castle Age | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=109 | LINK=101 | TRIGGER=<MISSING>
103 | Imperial Age | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=109 | LINK=102 | TRIGGER=<MISSING>
22 | Loom | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=1 | BUILDING=109 | LINK=<MISSING> | TRIGGER=<MISSING>
213 | Wheelbarrow | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=109 | LINK=<MISSING> | TRIGGER=<MISSING>
249 | Hand Cart | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=109 | LINK=213 | TRIGGER=<MISSING>
55 | Gold Mining | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=584 | LINK=<MISSING> | TRIGGER=<MISSING>
182 | Gold Shaft Mining | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=584 | LINK=55 | TRIGGER=<MISSING>
278 | Stone Mining | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=584 | LINK=<MISSING> | TRIGGER=<MISSING>
279 | Stone Shaft Mining | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=584 | LINK=278 | TRIGGER=<MISSING>
202 | Double-Bit Axe | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=562 | LINK=<MISSING> | TRIGGER=<MISSING>
203 | Bow Saw | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=562 | LINK=202 | TRIGGER=<MISSING>
221 | Two-Man Saw | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=562 | LINK=203 | TRIGGER=<MISSING>
128 | Trade Cart | TYPE=Unit | USE=Unit | STATUS=ResearchedCompleted | AGE=2 | BUILDING=84 | LINK=<MISSING> | TRIGGER=<MISSING>
48 | Caravan | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=84 | LINK=<MISSING> | TRIGGER=<MISSING>
23 | Coinage | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=84 | LINK=48 | TRIGGER=<MISSING>
17 | Banking | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=84 | LINK=23 | TRIGGER=<MISSING>
15 | Guilds | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=84 | LINK=17 | TRIGGER=<MISSING>
14 | Horse Collar | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=2 | BUILDING=68 | LINK=50 | TRIGGER=<MISSING>
13 | Heavy Plow | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=3 | BUILDING=68 | LINK=14 | TRIGGER=<MISSING>
12 | Crop Rotation | TYPE=Research | USE=Tech | STATUS=ResearchedCompleted | AGE=4 | BUILDING=68 | LINK=13 | TRIGGER=<MISSING>

============================================================
NOT AVAILABLE UNIT / TECH NODES
============================================================
436 | Parthian Tactics | TYPE=Research | USE=Tech | STATUS=NotAvailable | AGE=4 | BUILDING=87 | LINK=<MISSING> | TRIGGER=<MISSING>
435 | Bloodlines | TYPE=Research | USE=Tech | STATUS=NotAvailable | AGE=2 | BUILDING=101 | LINK=<MISSING> | TRIGGER=<MISSING>
588 | Siege Onager | TYPE=UnitUpgrade | USE=Unit | STATUS=NotAvailable | AGE=4 | BUILDING=49 | LINK=550 | TRIGGER=320
542 | Heavy Scorpion | TYPE=UnitUpgrade | USE=Unit | STATUS=NotAvailable | AGE=4 | BUILDING=49 | LINK=279 | TRIGGER=239
75 | Blast Furnace | TYPE=Research | USE=Tech | STATUS=NotAvailable | AGE=4 | BUILDING=103 | LINK=68 | TRIGGER=<MISSING>
420 | Cannon Galleon | TYPE=Unit | USE=Unit | STATUS=NotAvailable | AGE=4 | BUILDING=45 | LINK=<MISSING> | TRIGGER=<MISSING>
691 | Elite Cannon Galleon | TYPE=<MISSING> | USE=Unit | STATUS=NotAvailable | AGE=4 | BUILDING=45 | LINK=420 | TRIGGER=376
50 | Masonry | TYPE=Research | USE=Tech | STATUS=NotAvailable | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
51 | Architecture | TYPE=Research | USE=Tech | STATUS=NotAvailable | AGE=4 | BUILDING=209 | LINK=50 | TRIGGER=<MISSING>
377 | Siege Engineers | TYPE=Research | USE=Tech | STATUS=NotAvailable | AGE=4 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
380 | Heated Shot | TYPE=Research | USE=Tech | STATUS=NotAvailable | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
910 | Incendiaries | TYPE=Research | USE=Tech | STATUS=NotAvailable | AGE=4 | BUILDING=209 | LINK=909 | TRIGGER=<MISSING>
